Date,Open,Close,Volume,Ticker,Sector
3/13/2018,160.839996,158.910004,1175000,AMP,Financials
3/14/2018,159.990005,157.009995,559900,AMP,Financials
3/15/2018,157.320007,155.389999,815700,AMP,Financials
3/16/2018,155.550003,157.100006,1525900,AMP,Financials
3/19/2018,156.789993,156.039993,582000,AMP,Financials
3/20/2018,156.910004,157.139999,912900,AMP,Financials
3/21/2018,157.289993,157.860001,699000,AMP,Financials
3/22/2018,155.800003,151.059998,1123600,AMP,Financials
3/23/2018,151.179993,144.889999,1063500,AMP,Financials
3/26/2018,147.770004,149.550003,1242500,AMP,Financials
3/27/2018,150.009995,147.309998,950500,AMP,Financials
3/28/2018,147.789993,146.960007,1268100,AMP,Financials
3/29/2018,147.580002,147.940002,1074500,AMP,Financials
1/2/2019,103.440002,107.959999,1603500,AMP,Financials
1/3/2019,106.879997,105.099998,1065300,AMP,Financials
1/4/2019,107.849998,110.730003,1031100,AMP,Financials
1/7/2019,110,111.239998,944200,AMP,Financials
1/8/2019,112.830002,111.940002,806800,AMP,Financials
1/9/2019,112.489998,113.099998,808000,AMP,Financials
1/10/2019,112.089996,113.440002,747900,AMP,Financials
1/11/2019,112.25,113.440002,728600,AMP,Financials
1/14/2019,111.830002,114.040001,1076000,AMP,Financials
1/15/2019,113.650002,115.18,671600,AMP,Financials
1/16/2019,116.400002,118.260002,1044000,AMP,Financials
1/17/2019,117.07,118.589996,872500,AMP,Financials
1/18/2019,120.25,121.110001,928100,AMP,Financials
1/22/2019,119.889999,119.279999,1198600,AMP,Financials
1/23/2019,120.059998,118.809998,588700,AMP,Financials
1/24/2019,118.360001,119.779999,882900,AMP,Financials
1/25/2019,121.410004,121.120003,793400,AMP,Financials
1/28/2019,120.400002,121.790001,1042000,AMP,Financials
1/29/2019,121.599998,121.379997,786200,AMP,Financials
1/30/2019,121.730003,120.18,1553200,AMP,Financials
1/31/2019,121.550003,126.599998,1985000,AMP,Financials
2/1/2019,127.239998,126.889999,1689200,AMP,Financials
2/4/2019,127.059998,127.089996,896000,AMP,Financials
2/5/2019,127.160004,125.669998,938600,AMP,Financials
2/6/2019,124.68,126.690002,872300,AMP,Financials
2/7/2019,125.919998,125.220001,852100,AMP,Financials
2/8/2019,124.120003,125.57,1167500,AMP,Financials
2/11/2019,126.110001,125.949997,974700,AMP,Financials
2/12/2019,127.239998,128.830002,1169600,AMP,Financials
2/13/2019,129.690002,129.800003,790300,AMP,Financials
2/14/2019,127.900002,127.160004,837300,AMP,Financials
2/15/2019,128.440002,130.679993,706100,AMP,Financials
2/19/2019,129.559998,131.960007,909200,AMP,Financials
2/20/2019,131.660004,132.889999,941900,AMP,Financials
2/21/2019,133.240005,131.690002,736300,AMP,Financials
2/22/2019,132.350006,134.889999,1004500,AMP,Financials
2/25/2019,135.589996,131.940002,1423000,AMP,Financials
2/26/2019,130.789993,131,783100,AMP,Financials
2/27/2019,130.770004,131.869995,843600,AMP,Financials
2/28/2019,131.910004,131.630005,976000,AMP,Financials
3/1/2019,133.119995,132.179993,927000,AMP,Financials
3/4/2019,132.800003,130.589996,767400,AMP,Financials
3/5/2019,130.660004,130.130005,863300,AMP,Financials
3/6/2019,130.539993,127.860001,605300,AMP,Financials
3/7/2019,127.150002,124.910004,812300,AMP,Financials
3/8/2019,123.489998,124.349998,997700,AMP,Financials
3/11/2019,124.760002,124.360001,1228300,AMP,Financials
3/12/2019,124.489998,124.610001,1099900,AMP,Financials
3/13/2019,125.610001,124.860001,1172400,AMP,Financials
3/14/2019,124.919998,125.07,1294100,AMP,Financials
3/15/2019,125.389999,129.050003,2875000,AMP,Financials
3/18/2019,129.729996,130.360001,1241500,AMP,Financials
3/19/2019,131.270004,128.869995,763300,AMP,Financials
3/20/2019,128.520004,129.130005,1394300,AMP,Financials
3/21/2019,128.259995,129.550003,1071600,AMP,Financials
3/22/2019,128.240005,124.129997,1237300,AMP,Financials
3/25/2019,124,123.800003,744400,AMP,Financials
3/26/2019,125.529999,125.870003,666700,AMP,Financials
3/27/2019,125.870003,125.589996,828800,AMP,Financials
3/28/2019,125.989998,126.989998,903400,AMP,Financials
3/29/2019,128.449997,128.100006,846700,AMP,Financials
1/2/2020,167.539993,169.229996,822100,AMP,Financials
1/3/2020,167.979996,167.119995,581300,AMP,Financials
1/6/2020,165.419998,167.669998,748700,AMP,Financials
1/7/2020,166.490005,165.649994,1009200,AMP,Financials
1/8/2020,165.910004,167.139999,657700,AMP,Financials
1/9/2020,169.100006,168.869995,594400,AMP,Financials
1/10/2020,168.919998,169.160004,749000,AMP,Financials
1/13/2020,169.820007,169.729996,692600,AMP,Financials
1/14/2020,169.729996,168.419998,588200,AMP,Financials
1/15/2020,167.460007,168.289993,581900,AMP,Financials
1/16/2020,169.339996,171.949997,748500,AMP,Financials
1/17/2020,172.490005,172.429993,777100,AMP,Financials
1/21/2020,171.25,170.25,540300,AMP,Financials
1/22/2020,171.460007,171.139999,526100,AMP,Financials
1/23/2020,169.970001,171.380005,751300,AMP,Financials
1/24/2020,171.399994,167.570007,558900,AMP,Financials
1/27/2020,163.559998,162.399994,754500,AMP,Financials
1/28/2020,164.029999,165.119995,619700,AMP,Financials
1/29/2020,166.190002,166.039993,710900,AMP,Financials
1/30/2020,167.240005,170.509995,887000,AMP,Financials
1/31/2020,168.960007,165.410004,932900,AMP,Financials
2/3/2020,166.979996,167.460007,864900,AMP,Financials
2/4/2020,171.399994,173.279999,681200,AMP,Financials
2/5/2020,175,176.059998,649800,AMP,Financials
2/6/2020,177.509995,175.910004,521900,AMP,Financials
2/7/2020,174.520004,175.320007,461200,AMP,Financials
2/10/2020,174.460007,175.770004,454500,AMP,Financials
2/11/2020,176.649994,177.630005,462500,AMP,Financials
2/12/2020,178.589996,178.639999,409300,AMP,Financials
2/13/2020,176.529999,178.399994,514100,AMP,Financials
2/14/2020,178.119995,178.820007,525100,AMP,Financials
2/18/2020,177.899994,177.289993,994900,AMP,Financials
2/19/2020,178.550003,179.039993,559100,AMP,Financials
2/20/2020,178.259995,179.720001,654900,AMP,Financials
2/21/2020,178.639999,175.429993,595300,AMP,Financials
2/24/2020,168.520004,164.470001,846800,AMP,Financials
2/25/2020,164.889999,156.229996,1085800,AMP,Financials
2/26/2020,156.389999,156,1031900,AMP,Financials
2/27/2020,151.580002,146.179993,1487200,AMP,Financials
2/28/2020,139.309998,141.300003,2050400,AMP,Financials
3/2/2020,142.130005,150.860001,1482600,AMP,Financials
3/3/2020,149.470001,140.559998,1433500,AMP,Financials
3/4/2020,143.410004,144.460007,1243500,AMP,Financials
3/5/2020,138.360001,134.509995,1456000,AMP,Financials
3/6/2020,128.259995,126.599998,1588900,AMP,Financials
3/9/2020,114.160004,109.129997,1498400,AMP,Financials
3/10/2020,114.849998,119.279999,1738700,AMP,Financials
3/11/2020,114.779999,110.779999,1535600,AMP,Financials
3/12/2020,101.18,92.419998,1968200,AMP,Financials
3/13/2020,99.18,113.339996,1810500,AMP,Financials
3/16/2020,90.779999,86.339996,1888700,AMP,Financials
3/17/2020,89.480003,97.940002,1930500,AMP,Financials
3/18/2020,89.529999,93.910004,1803300,AMP,Financials
3/19/2020,91.82,95.43,1601800,AMP,Financials
3/20/2020,97.279999,89.830002,1608700,AMP,Financials
3/23/2020,87.959999,82.879997,1449700,AMP,Financials
3/24/2020,89.559998,100.059998,1485900,AMP,Financials
3/25/2020,102.889999,103.599998,1375800,AMP,Financials
3/26/2020,105.529999,110.870003,1298100,AMP,Financials
3/27/2020,105,103.330002,1152700,AMP,Financials
3/30/2020,102.809998,109.150002,992200,AMP,Financials
1/2/2018,170.160004,172.259995,25555900,AAPL,Information Technology
1/3/2018,172.529999,172.229996,29517900,AAPL,Information Technology
1/4/2018,172.539993,173.029999,22434600,AAPL,Information Technology
1/5/2018,173.440002,175,23660000,AAPL,Information Technology
1/8/2018,174.350006,174.350006,20567800,AAPL,Information Technology
1/9/2018,174.550003,174.330002,21584000,AAPL,Information Technology
1/10/2018,173.160004,174.289993,23959900,AAPL,Information Technology
1/11/2018,174.589996,175.279999,18667700,AAPL,Information Technology
1/12/2018,176.179993,177.089996,25418100,AAPL,Information Technology
1/16/2018,177.899994,176.190002,29565900,AAPL,Information Technology
1/17/2018,176.149994,179.100006,34386800,AAPL,Information Technology
1/18/2018,179.369995,179.259995,31193400,AAPL,Information Technology
1/19/2018,178.610001,178.460007,32425100,AAPL,Information Technology
1/22/2018,177.300003,177,27108600,AAPL,Information Technology
1/23/2018,177.300003,177.039993,32689100,AAPL,Information Technology
1/24/2018,177.25,174.220001,51105100,AAPL,Information Technology
1/25/2018,174.509995,171.110001,41529000,AAPL,Information Technology
1/26/2018,172,171.509995,39143000,AAPL,Information Technology
1/29/2018,170.160004,167.960007,50640400,AAPL,Information Technology
1/30/2018,165.529999,166.970001,46048200,AAPL,Information Technology
1/31/2018,166.869995,167.429993,32478900,AAPL,Information Technology
2/1/2018,167.169998,167.779999,47230800,AAPL,Information Technology
2/2/2018,166,160.5,86593800,AAPL,Information Technology
2/5/2018,159.100006,156.490005,72738500,AAPL,Information Technology
2/6/2018,154.830002,163.029999,68243800,AAPL,Information Technology
2/7/2018,163.089996,159.539993,51608600,AAPL,Information Technology
2/8/2018,160.289993,155.149994,54390500,AAPL,Information Technology
2/9/2018,157.070007,156.410004,70672600,AAPL,Information Technology
2/12/2018,158.5,162.710007,60819500,AAPL,Information Technology
2/13/2018,161.949997,164.339996,32549200,AAPL,Information Technology
2/14/2018,163.039993,167.369995,40644900,AAPL,Information Technology
2/15/2018,169.789993,172.990005,51147200,AAPL,Information Technology
2/16/2018,172.360001,172.429993,40176100,AAPL,Information Technology
2/20/2018,172.050003,171.850006,33930500,AAPL,Information Technology
2/21/2018,172.830002,171.070007,37471600,AAPL,Information Technology
2/22/2018,171.800003,172.5,30991900,AAPL,Information Technology
2/23/2018,173.669998,175.5,33812400,AAPL,Information Technology
2/26/2018,176.350006,178.970001,38162200,AAPL,Information Technology
2/27/2018,179.100006,178.389999,38928100,AAPL,Information Technology
2/28/2018,179.259995,178.119995,37782100,AAPL,Information Technology
3/1/2018,178.539993,175,48802000,AAPL,Information Technology
3/2/2018,172.800003,176.210007,38454000,AAPL,Information Technology
3/5/2018,175.210007,176.820007,28401400,AAPL,Information Technology
3/6/2018,177.910004,176.669998,23788500,AAPL,Information Technology
3/7/2018,174.940002,175.029999,31703500,AAPL,Information Technology
3/8/2018,175.479996,176.940002,23774100,AAPL,Information Technology
3/9/2018,177.960007,179.979996,32185200,AAPL,Information Technology
3/12/2018,180.289993,181.720001,32207100,AAPL,Information Technology
3/13/2018,182.589996,179.970001,31693500,AAPL,Information Technology
3/14/2018,180.320007,178.440002,29368400,AAPL,Information Technology
3/15/2018,178.5,178.649994,22743800,AAPL,Information Technology
3/16/2018,178.649994,178.020004,39404700,AAPL,Information Technology
3/19/2018,177.320007,175.300003,33446800,AAPL,Information Technology
3/20/2018,175.240005,175.240005,19649400,AAPL,Information Technology
3/21/2018,175.039993,171.270004,37054900,AAPL,Information Technology
3/22/2018,170,168.850006,41490800,AAPL,Information Technology
3/23/2018,168.389999,164.940002,41028800,AAPL,Information Technology
3/26/2018,168.070007,172.770004,37541200,AAPL,Information Technology
3/27/2018,173.679993,168.339996,40922600,AAPL,Information Technology
3/28/2018,167.25,166.479996,41668500,AAPL,Information Technology
3/29/2018,167.809998,167.779999,38398500,AAPL,Information Technology
1/2/2019,154.889999,157.919998,37039700,AAPL,Information Technology
1/3/2019,143.979996,142.190002,91312200,AAPL,Information Technology
1/4/2019,144.529999,148.259995,58607100,AAPL,Information Technology
1/7/2019,148.699997,147.929993,54777800,AAPL,Information Technology
1/8/2019,149.559998,150.75,41025300,AAPL,Information Technology
1/9/2019,151.289993,153.309998,45099100,AAPL,Information Technology
1/10/2019,152.5,153.800003,35780700,AAPL,Information Technology
1/11/2019,152.880005,152.289993,27023200,AAPL,Information Technology
1/14/2019,150.850006,150,32439200,AAPL,Information Technology
1/15/2019,150.270004,153.070007,28710900,AAPL,Information Technology
1/16/2019,153.080002,154.940002,30569700,AAPL,Information Technology
1/17/2019,154.199997,155.860001,29821200,AAPL,Information Technology
1/18/2019,157.5,156.820007,33751000,AAPL,Information Technology
1/22/2019,156.410004,153.300003,30394000,AAPL,Information Technology
1/23/2019,154.149994,153.919998,23130600,AAPL,Information Technology
1/24/2019,154.110001,152.699997,25441500,AAPL,Information Technology
1/25/2019,155.479996,157.759995,33535500,AAPL,Information Technology
1/28/2019,155.789993,156.300003,26192100,AAPL,Information Technology
1/29/2019,156.25,154.679993,41587200,AAPL,Information Technology
1/30/2019,163.25,165.25,61109800,AAPL,Information Technology
1/31/2019,166.110001,166.440002,40739600,AAPL,Information Technology
2/1/2019,166.960007,166.520004,32668100,AAPL,Information Technology
2/4/2019,167.410004,171.25,31495500,AAPL,Information Technology
2/5/2019,172.860001,174.179993,36101600,AAPL,Information Technology
2/6/2019,174.649994,174.240005,28239600,AAPL,Information Technology
2/7/2019,172.399994,170.940002,31741700,AAPL,Information Technology
2/8/2019,168.990005,170.410004,23820000,AAPL,Information Technology
2/11/2019,171.050003,169.429993,20993400,AAPL,Information Technology
2/12/2019,170.100006,170.889999,22283500,AAPL,Information Technology
2/13/2019,171.389999,170.179993,22490200,AAPL,Information Technology
2/14/2019,169.710007,170.800003,21835700,AAPL,Information Technology
2/15/2019,171.25,170.419998,24626800,AAPL,Information Technology
2/19/2019,169.710007,170.929993,18972800,AAPL,Information Technology
2/20/2019,171.190002,172.029999,26114400,AAPL,Information Technology
2/21/2019,171.800003,171.059998,17249700,AAPL,Information Technology
2/22/2019,171.580002,172.970001,18913200,AAPL,Information Technology
2/25/2019,174.160004,174.229996,21873400,AAPL,Information Technology
2/26/2019,173.710007,174.330002,17070200,AAPL,Information Technology
2/27/2019,173.210007,174.869995,27835400,AAPL,Information Technology
2/28/2019,174.320007,173.149994,28215400,AAPL,Information Technology
3/1/2019,174.279999,174.970001,25886200,AAPL,Information Technology
3/4/2019,175.690002,175.850006,27436200,AAPL,Information Technology
3/5/2019,175.940002,175.529999,19737400,AAPL,Information Technology
3/6/2019,174.669998,174.520004,20810400,AAPL,Information Technology
3/7/2019,173.869995,172.5,24796400,AAPL,Information Technology
3/8/2019,170.320007,172.910004,23999400,AAPL,Information Technology
3/11/2019,175.490005,178.899994,32011000,AAPL,Information Technology
3/12/2019,180,180.910004,32467600,AAPL,Information Technology
3/13/2019,182.25,181.710007,31032500,AAPL,Information Technology
3/14/2019,183.899994,183.729996,23579500,AAPL,Information Technology
3/15/2019,184.850006,186.119995,39042900,AAPL,Information Technology
3/18/2019,185.800003,188.020004,26219800,AAPL,Information Technology
3/19/2019,188.350006,186.529999,31646400,AAPL,Information Technology
3/20/2019,186.229996,188.160004,31035200,AAPL,Information Technology
3/21/2019,190.020004,195.089996,51034200,AAPL,Information Technology
3/22/2019,195.339996,191.050003,42407700,AAPL,Information Technology
3/25/2019,191.509995,188.740005,43845300,AAPL,Information Technology
3/26/2019,191.660004,186.789993,49800500,AAPL,Information Technology
3/27/2019,188.75,188.470001,29848400,AAPL,Information Technology
3/28/2019,188.949997,188.720001,20780400,AAPL,Information Technology
3/29/2019,189.830002,189.949997,23564000,AAPL,Information Technology
1/2/2020,296.23999,300.350006,33870100,AAPL,Information Technology
1/3/2020,297.149994,297.429993,36580700,AAPL,Information Technology
1/6/2020,293.790009,299.799988,29596800,AAPL,Information Technology
1/7/2020,299.839996,298.390015,27218000,AAPL,Information Technology
1/8/2020,297.160004,303.190002,33019800,AAPL,Information Technology
1/9/2020,307.23999,309.630005,42527100,AAPL,Information Technology
1/10/2020,310.600006,310.329987,35161200,AAPL,Information Technology
1/13/2020,311.640015,316.959991,30383000,AAPL,Information Technology
1/14/2020,316.700012,312.679993,40488600,AAPL,Information Technology
1/15/2020,311.850006,311.339996,30480900,AAPL,Information Technology
1/16/2020,313.589996,315.23999,27207300,AAPL,Information Technology
1/17/2020,316.269989,318.730011,34454100,AAPL,Information Technology
1/21/2020,317.190002,316.570007,27710800,AAPL,Information Technology
1/22/2020,318.579987,317.700012,25458100,AAPL,Information Technology
1/23/2020,317.920013,319.230011,26118000,AAPL,Information Technology
