,Date,Consumer Staples,Information Technology,Ameriprise Financial,Consumer Discretionary,Utilities,Real Estate,Health Care,Materials,Energy,Telecommunication Services,Industrials,S&P
19,1/30/2019,94.8,165.25,120.18,1670.43,93.74,383.01,116.94,31.91,16.02,68.32,87.47,2681.05
20,1/31/2019,95.83,166.44,126.6,1718.73,95.67,394.0,119.86,32.28,15.79,69.62,87.27,2704.1
21,2/1/2019,93.86,166.52,126.89,1626.23,95.21,396.38,120.89,32.6,16.0,69.63,87.49,2706.53
22,2/4/2019,94.77,171.25,127.09,1633.31,95.58,395.29,120.17,31.95,16.15,69.41,88.62,2724.87
23,2/5/2019,95.6,174.18,125.67,1658.81,95.86,395.79,120.43,32.2,15.94,66.85,89.46,2737.7
24,2/6/2019,95.64,174.24,126.69,1640.26,95.15,390.1,119.27,32.46,15.91,66.94,89.75,2731.61
25,2/7/2019,96.73,170.94,125.22,1614.37,96.87,389.79,117.5,31.4,15.27,68.28,87.86,2706.05
26,2/8/2019,95.58,170.41,125.57,1588.22,97.74,395.82,119.6,31.19,15.13,68.38,88.17,2707.88
27,2/11/2019,96.2,169.43,125.95,1591.0,97.6,400.07,118.01,30.92,15.27,68.44,89.15,2709.8
28,2/12/2019,96.97,170.89,128.83,1638.01,97.67,397.48,119.49,31.89,15.45,69.6,87.97,2744.73
29,2/13/2019,97.94,170.18,129.8,1640.0,97.44,391.91,119.65,32.06,15.55,69.07,88.58,2753.03
30,2/14/2019,98.52,170.8,127.16,1622.65,97.25,420.59,120.75,31.94,16.91,70.5,88.15,2745.73
31,2/15/2019,99.99,170.42,130.68,1607.95,98.05,421.39,122.48,32.11,17.08,72.05,88.31,2775.6
32,2/19/2019,102.2,170.93,131.96,1627.58,98.7,430.59,122.13,32.28,17.03,72.52,89.24,2779.76
33,2/20/2019,99.88,172.03,132.89,1622.1,98.66,431.53,122.66,33.48,17.08,72.75,88.5,2784.7
34,2/21/2019,99.39,171.06,131.69,1619.44,100.38,425.86,122.72,33.17,16.68,73.41,88.84,2774.88
35,2/22/2019,99.55,172.97,134.89,1631.56,100.98,428.54,124.0,32.3,16.89,73.2,89.43,2792.67
36,2/25/2019,99.12,174.23,131.94,1633.0,100.88,428.98,123.89,32.77,16.67,73.05,89.58,2796.11
37,2/26/2019,98.69,174.33,131.0,1636.4,101.04,425.84,124.67,31.44,16.52,72.53,89.53,2793.9
38,2/27/2019,98.11,174.87,131.87,1641.09,101.04,418.15,125.68,32.17,16.79,72.12,87.6,2792.38
39,2/28/2019,98.99,173.15,131.63,1639.83,101.62,423.5,126.29,31.27,16.6,72.21,87.81,2784.49
40,3/1/2019,97.93,174.97,132.18,1671.73,101.44,432.79,128.84,31.0,17.08,72.34,86.92,2803.69
41,3/4/2019,97.85,175.85,130.59,1696.17,101.71,426.98,127.46,30.82,17.28,71.65,84.31,2792.81
42,3/5/2019,98.34,175.53,130.13,1692.43,101.27,426.92,128.49,29.89,17.27,71.41,85.05,2789.65
43,3/6/2019,98.26,174.52,127.86,1668.95,101.06,424.66,126.68,29.23,16.86,70.78,84.33,2771.45
44,3/7/2019,97.45,172.5,124.91,1625.95,101.65,426.75,126.34,27.92,16.86,71.32,82.61,2748.93
45,3/8/2019,97.59,172.91,124.35,1620.8,102.53,430.38,126.7,28.02,16.27,70.65,82.4,2743.07
46,3/11/2019,98.48,178.9,124.36,1670.62,104.03,438.33,123.5,28.71,16.57,71.47,82.38,2783.3
47,3/12/2019,98.37,180.91,124.61,1673.1,104.92,438.5,123.5,28.67,16.9,71.7,79.85,2791.52
48,3/13/2019,99.03,181.71,124.86,1690.81,105.11,438.87,124.31,28.75,17.32,72.25,81.21,2810.92
49,3/14/2019,98.22,183.73,125.07,1686.22,104.99,440.48,123.08,28.38,17.26,72.34,81.49,2808.48
50,3/15/2019,98.42,186.12,129.05,1712.36,105.81,441.61,123.94,28.71,17.27,73.46,81.69,2822.48
51,3/18/2019,99.66,188.02,130.36,1742.15,105.13,444.1,125.24,28.64,17.39,73.68,80.73,2832.94
52,3/19/2019,99.85,186.53,128.87,1761.85,104.35,443.55,126.59,28.55,17.12,72.59,81.34,2832.57
