,Date,Consumer Staples,Information Technology,Ameriprise Financial,Consumer Discretionary,Utilities,Real Estate,Health Care,Materials,Energy,Telecommunication Services,Industrials,S&P
230,11/29/2019,119.09,267.25,163.87,1800.8,121.03,566.85,117.35,19.05,11.65,78.55,92.8,3140.98
231,12/2/2019,119.28,264.16,162.56,1781.6,120.3,549.74,116.74,18.99,11.96,77.64,91.63,3113.87
232,12/3/2019,118.67,259.45,159.98,1769.96,121.19,552.6,117.61,18.43,11.76,78.01,88.87,3093.2
233,12/4/2019,118.69,261.74,162.04,1760.69,122.49,562.93,118.67,18.37,12.17,78.34,88.17,3112.76
234,12/5/2019,118.66,265.58,162.78,1740.48,123.38,560.06,119.77,18.55,12.04,76.94,87.86,3117.43
235,12/6/2019,119.78,270.71,164.9,1751.6,122.67,559.19,119.64,19.08,12.45,77.74,88.58,3145.91
236,12/9/2019,119.36,266.92,164.82,1749.51,122.48,560.72,120.24,18.74,12.59,75.87,87.61,3135.96
237,12/10/2019,119.14,268.48,165.21,1739.21,122.35,557.73,120.65,18.25,12.59,75.02,86.51,3132.52
238,12/11/2019,119.0,270.77,164.51,1748.72,120.9,559.14,120.78,18.22,12.61,74.62,87.02,3141.63
239,12/12/2019,119.76,271.46,168.43,1760.33,118.43,547.8,121.7,18.96,13.03,74.89,88.47,3168.57
240,12/13/2019,120.29,275.15,167.44,1760.94,119.2,551.84,121.53,18.63,12.72,75.47,87.58,3168.8
241,12/16/2019,120.54,279.86,167.44,1769.21,120.9,562.8,122.85,19.48,13.13,75.47,88.63,3191.45
242,12/17/2019,121.28,280.41,167.34,1790.66,120.9,557.52,125.33,20.15,13.37,75.49,89.36,3192.52
243,12/18/2019,119.86,279.74,167.26,1784.03,121.23,565.45,129.48,20.86,13.42,76.31,88.84,3191.14
244,12/19/2019,120.08,280.02,167.28,1792.28,121.66,575.92,130.85,20.6,13.18,77.22,89.22,3205.37
245,12/20/2019,120.29,279.44,168.09,1786.5,122.72,577.71,132.43,21.71,13.21,77.4,89.28,3221.22
246,12/23/2019,119.03,284.0,167.28,1793.0,121.39,571.64,131.15,21.54,13.56,76.96,89.44,3224.01
247,12/24/2019,119.51,284.27,167.72,1789.21,121.62,573.24,131.11,21.45,13.62,77.32,89.15,3223.38
248,12/26/2019,119.52,289.91,167.68,1868.77,121.88,579.51,131.14,21.66,13.69,77.4,89.26,3239.91
249,12/27/2019,119.59,289.8,166.71,1869.8,122.96,582.5,131.52,21.22,13.48,77.24,88.37,3240.02
250,12/30/2019,119.4,291.52,166.07,1846.89,123.05,580.24,131.3,21.03,13.42,78.08,87.96,3221.29
